Irr_area_ha,Precip_mm,WTD_Rnd_Frst_m,WTD_USGS_m,aquifer_state,aquifer_region,aquifer,state,year,month
670547.0,6.019041596402474,27.597364403735632,24.07452615584598,CP_WA,CP_WA,CP,Washigton,1986,7
2119605.5,75.4477978023305,18.10660861929628,17.376569763931656,HPA_NE,HPA_NE,HPA,Nebraska,1986,7
62719.7109375,62.185091585726354,21.800786318663494,17.85321869721284,RG_NM,RG_NM,RG,New Mexico,1986,7
459596.09375,5.536145014611044,47.27235413227404,22.500168467855705,SRP_ID,SRP_ID_East,SRP,Idaho,1986,7
198363.0,34.14885825075399,46.839507472826085,13.69814078656829,BR_AZ,BR_AZ,BR,Arizona,1986,7
99697.1015625,54.13053531390135,6.0731589577414775,2.7785478486430306,RG_CO,RG_CO,RG,Colorado,1986,7
493466.9375,45.671508719268154,63.97469783107204,18.088654826567563,HPA_TX,HPA_TX_North,HPA,Texas,1986,7
34634.6953125,66.49683255784709,43.566433981997974,35.72882608148893,HPA_OK,HPA_OK,HPA,Oklahoma,1986,7
174328.15625,47.78150296815974,37.260467980295566,22.88390447922288,HPA_CO,HPA_CO,HPA,Colorado,1986,7
166122.75,15.269341671105588,25.540158757903697,18.00631991299716,CP_OR,CP_OR,CP,Oregon,1986,7
174377.5,9.524079519001733,13.110725882237432,16.04489734462971,BR_NV,BR_NV,BR,Nevada,1986,7
159808.09375,27.07573830170157,14.662402077656676,26.463328288612566,BR_UT,BR_UT,BR,Utah,1986,7
278661.4375,32.452135830436944,8.602828101120734,7.202315238642006,DBA_CO,DBA_CO,DBA,Colorado,1986,7
72710.3515625,52.20366395757021,27.052288083538084,22.10751726572039,HPA_TX,HPA_TX_South,HPA,Texas,1986,7
118923.015625,99.97406293282549,7.516389024715505,3.832460017745845,HPA_KS,HPA_KS,HPA,Kansas,1986,7
999.3064575195312,68.24980061848959,9.960924275716145,2.4972910563151043,HPA_KS,HPA_KS,HPA,Kansas,1986,7
344885.5,61.01834340727817,34.36908623417722,15.377647331443171,HPA_KS,HPA_KS_West,HPA,Kansas,1986,7
953253.125,0.21901125953311013,40.553394730567476,13.314857700892857,CV_CA,CV_CA_Tulare,CV,California,1986,7
